00000001 | 123123 | 12312312312312 | Pão | 12.345.678/1233-12 | R$ 6,00 | 120 | ATIVO | 12/11/2020 21:37:31
00000002 | 654324 | 12355677787777 | Cerveja | 12.345.178/1233-10 | R$ 3,00 | 120 | INATIVO | 12/11/2020 21:38:53
00000003 | 6654544565 | 12312312444434 | Cabide | 12.125.678/1233-12 | R$ 12,00 | 300 | ATIVO | 12/11/2020 21:51:44
00000004 | 125677777 | 66666666666666 | Pinga | 12.345.178/1233-60 | R$ 25 | 100 | INATIVO | 12/11/2020 21:52:28
00000005 | 1231233333 | 12312312444434 | Breja | 12.345.678/1233-12 | R$ 1234,00 | 51 | INATIVO | 12/11/2020 22:15:29
00000006 | 12344444 | 12355677123127 | Feijão | 50.345.178/1233-30 | R$ 20,00 | 50 | ATIVO | 12/11/2020 22:31:28
00000007 | 12344444 | 12355677123127 | Feijão | 50.345.178/1233-30 | R$ 20,00 | 50 | ATIVO | 12/11/2020 22:31:50
00000008 | 12345 | 9183182900012 | Refrigerante Sukita Uva 2LT | 12.345.678/9101-11 | R$ 7,80 | 120 | ATIVO | 14/11/2020 19:37:22
00000009 | 54321 | 9992871212312 | Controle Remoto LG | 83.812.361/2312-31 | R$ 35,00 | 10 | INATIVO | 14/11/2020 19:50:58
00000010 | 1256512545 | 74747474734123 | Feijão Carioca | 12.312.312/4543-13 | R$ 15,00 | 50 | ATIVO | 14/11/2020 20:21:05
